date,direction,clean_amount,description,raw,category
2025-06-10,OUT,105,"Customer Transfer to -            Completed                                          -105.00                  6,786.23","TFA9DNMBWD           2025-06-10 22:04:05   Customer Transfer to -            Completed                                          -105.00                  6,786.23",Personal Transfers
2025-06-10,OUT,50,"Merchant Payment to 6480227 -     Completed                                           -50.00                  6,891.23","TFA4DL0ZYQ           2025-06-10 21:43:47   Merchant Payment to 6480227 -     Completed                                           -50.00                  6,891.23",Other Merchant Payment
2025-06-10,OUT,60,"Customer Payment to Small         Completed                                           -60.00                  6,941.23","TFA9DF39C7           2025-06-10 21:05:54   Customer Payment to Small         Completed                                           -60.00                  6,941.23",Uncategorized
2025-06-10,IN,6219.35,"Business Payment from 4131921 Completed                         6,219.35                                7,001.23","TFA9CUV1FZ         2025-06-10 19:36:04   Business Payment from 4131921 Completed                         6,219.35                                7,001.23",Income (Business)
2025-06-10,OUT,7,Customer Transfer of Funds       Completed                                             -7.00              781.88,TFA2BFD508         2025-06-10 15:27:15   Customer Transfer of Funds       Completed                                             -7.00              781.88,Uncategorized
2025-06-10,OUT,170,Customer Transfer to -           Completed                                           -170.00              788.88,TFA2BFD508         2025-06-10 15:27:15   Customer Transfer to -           Completed                                           -170.00              788.88,Personal Transfers
2025-06-10,OUT,7,Customer Transfer of Funds       Completed                                             -7.00              958.88,TFA2B9YTF4         2025-06-10 14:51:37   Customer Transfer of Funds       Completed                                             -7.00              958.88,Uncategorized
2025-06-10,OUT,110,Customer Transfer to -           Completed                                           -110.00              965.88,TFA2B9YTF4         2025-06-10 14:51:37   Customer Transfer to -           Completed                                           -110.00              965.88,Personal Transfers
2025-06-10,OUT,70,"Customer Payment to Small        Completed                                            -70.00            1,075.88","TFA2B5FFEW         2025-06-10 14:22:07   Customer Payment to Small        Completed                                            -70.00            1,075.88",Uncategorized
2025-06-10,OUT,60,"Customer Payment to Small        Completed                                            -60.00            1,145.88","TFA5AY8AIZ         2025-06-10 13:37:05   Customer Payment to Small        Completed                                            -60.00            1,145.88",Uncategorized
2025-06-10,OUT,28,"Recharge for Customer to         Completed                                            -28.00            1,205.88","TFA3AUH92Z         2025-06-10 13:14:10   Recharge for Customer to         Completed                                            -28.00            1,205.88",Uncategorized
2025-06-10,IN,1000,"Business Payment from 329299 - Completed                        1,000.00                                1,233.88","TFA19JRIKN         2025-06-10 07:54:10   Business Payment from 329299 - Completed                        1,000.00                                1,233.88",Income (Business)
2025-06-10,OUT,67,Pay Bill Charge                  Completed                                            -67.00              233.88,TFA69JKWCE         2025-06-10 07:52:42   Pay Bill Charge                  Completed                                            -67.00              233.88,Uncategorized
2025-06-10,OUT,20100,"Pay Bill Online to 4700842 -     Completed                                        -20,100.00              300.88","TFA69JKWCE         2025-06-10 07:52:42   Pay Bill Online to 4700842 -     Completed                                        -20,100.00              300.88",Uncategorized
2025-06-10,IN,20100,"M-Shwari Withdraw                Completed                     20,100.00                               20,400.88","TFA29JC6GU         2025-06-10 07:50:38   M-Shwari Withdraw                Completed                     20,100.00                               20,400.88",Savings/Loans
2025-06-09,OUT,90,Customer Transfer to -           Completed                                            -90.00              300.88,TF948L3RVY         2025-06-09 20:45:40   Customer Transfer to -           Completed                                            -90.00              300.88,Personal Transfers
2025-06-09,OUT,5,Pay Bill Charge                  Completed                                             -5.00              390.88,TF988IYCL0         2025-06-09 20:35:03   Pay Bill Charge                  Completed                                             -5.00              390.88,Uncategorized
2025-06-09,OUT,300,Pay Bill to 888880 - KPLC        Completed                                           -300.00              395.88,TF988IYCL0         2025-06-09 20:35:03   Pay Bill to 888880 - KPLC        Completed                                           -300.00              395.88,Utilities
2025-06-09,OUT,90,Customer Payment to Small        Completed                                            -90.00              695.88,TF9089P0LM         2025-06-09 19:54:42   Customer Payment to Small        Completed                                            -90.00              695.88,Uncategorized
2025-06-09,OUT,33,Recharge for Customer to         Completed                                            -33.00              785.88,TF93815ZAJ         2025-06-09 19:22:58   Recharge for Customer to         Completed                                            -33.00              785.88,Uncategorized
2025-06-09,OUT,108,Customer Transfer of Funds       Completed                                           -108.00              818.88,TF926P0K88         2025-06-09 15:28:48   Customer Transfer of Funds       Completed                                           -108.00              818.88,Uncategorized
2025-06-09,OUT,80000,"Customer Transfer to -           Completed                                        -80,000.00              926.88","TF926P0K88         2025-06-09 15:28:48   Customer Transfer to -           Completed                                        -80,000.00              926.88",Personal Transfers
2025-06-09,IN,37000,"Business Payment from 329299 - Completed                       37,000.00                               80,926.88","TF996ORTKN         2025-06-09 15:27:17   Business Payment from 329299 - Completed                       37,000.00                               80,926.88",Income (Business)
2025-06-09,OUT,40,"Merchant Payment to 748447 -     Completed                                            -40.00           43,926.88","TF956NF3RV         2025-06-09 15:18:38   Merchant Payment to 748447 -     Completed                                            -40.00           43,926.88",Other Merchant Payment
2025-06-09,IN,39000,"Funds received from Business     Completed                     39,000.00                               43,966.88","TF996G830B         2025-06-09 14:32:21   Funds received from Business     Completed                     39,000.00                               43,966.88",Income (P2P)
2025-06-09,OUT,20,"Pay Bill Online to 826915 -      Completed                                            -20.00            4,966.88","TF955IA13N         2025-06-09 10:55:59   Pay Bill Online to 826915 -      Completed                                            -20.00            4,966.88",Uncategorized
2025-06-09,OUT,50,"Customer Transfer to -           Completed                                            -50.00            4,986.88","TF954SSF0Z         2025-06-09 08:00:28   Customer Transfer to -           Completed                                            -50.00            4,986.88",Personal Transfers
2025-06-09,OUT,100,"Customer Payment to Small        Completed                                           -100.00            5,036.88","TF954NLIQX         2025-06-09 07:15:41   Customer Payment to Small        Completed                                           -100.00            5,036.88",Uncategorized
2025-06-09,OUT,45,"Recharge for Customer to         Completed                                            -45.00            5,136.88","TF954MS77H         2025-06-09 07:07:21   Recharge for Customer to         Completed                                            -45.00            5,136.88",Uncategorized
2025-06-08,OUT,7,"Customer Transfer of Funds       Completed                                             -7.00            5,181.88","TF8938P39L         2025-06-08 19:19:11   Customer Transfer of Funds       Completed                                             -7.00            5,181.88",Uncategorized
2025-06-08,OUT,105,"Customer Transfer to -           Completed                                           -105.00            5,188.88","TF8938P39L         2025-06-08 19:19:11   Customer Transfer to -           Completed                                           -105.00            5,188.88",Personal Transfers
2025-06-08,OUT,20,"Recharge for Customer to         Completed                                            -20.00            5,293.88","TF871D9FSV         2025-06-08 13:01:26   Recharge for Customer to         Completed                                            -20.00            5,293.88",Uncategorized
2025-06-08,OUT,20,"Recharge for Customer to         Completed                                            -20.00            5,313.88","TF8612J1VC         2025-06-08 11:44:51   Recharge for Customer to         Completed                                            -20.00            5,313.88",Uncategorized
2025-06-08,OUT,20,"Airtime Purchase                 Completed                                            -20.00            5,333.88","TF86YV4U84         2025-06-08 00:12:24   Airtime Purchase                 Completed                                            -20.00            5,333.88",Airtime/Data
2025-06-07,IN,4000,"Business Payment from 4072221 Completed                       4,000.00                                5,353.88","TF74WI5LT4         2025-06-07 16:07:05   Business Payment from 4072221 Completed                       4,000.00                                5,353.88",Income (Business)
2025-06-07,OUT,66,"Recharge for Customer to          Completed                                         -66.00            1,353.88","TF71WFAH43         2025-06-07 15:50:05   Recharge for Customer to          Completed                                         -66.00            1,353.88",Uncategorized
2025-06-07,OUT,100,"Customer Transfer to -            Completed                                        -100.00            1,419.88","TF71VZ6DUL         2025-06-07 14:14:07   Customer Transfer to -            Completed                                        -100.00            1,419.88",Personal Transfers
2025-06-07,IN,1000,"Funds received from -             Completed                   1,000.00                                1,519.88","TF76VPAYVK         2025-06-07 13:16:39   Funds received from -             Completed                   1,000.00                                1,519.88",Income (P2P)
2025-06-07,OUT,50,Merchant Payment to 6863863 -     Completed                                         -50.00              519.88,TF71VB78N1         2025-06-07 11:48:26   Merchant Payment to 6863863 -     Completed                                         -50.00              519.88,Other Merchant Payment
2025-06-07,OUT,90,Merchant Payment to 6497873 -     Completed                                         -90.00              569.88,TF77VAYEHV         2025-06-07 11:46:50   Merchant Payment to 6497873 -     Completed                                         -90.00              569.88,Other Merchant Payment
2025-06-07,OUT,40,Merchant Payment to 5557368 -     Completed                                         -40.00              659.88,TF79VA2UDN         2025-06-07 11:41:18   Merchant Payment to 5557368 -     Completed                                         -40.00              659.88,Other Merchant Payment
2025-06-07,OUT,40,Merchant Payment to 6863863 -     Completed                                         -40.00              699.88,TF72V5TO1M         2025-06-07 11:14:03   Merchant Payment to 6863863 -     Completed                                         -40.00              699.88,Other Merchant Payment
2025-06-07,OUT,300,Merchant Payment to 6266850 -     Completed                                        -300.00              739.88,TF70V4THV8         2025-06-07 11:07:36   Merchant Payment to 6266850 -     Completed                                        -300.00              739.88,Other Merchant Payment
2025-06-07,OUT,30,"Customer Payment to Small         Completed                                         -30.00            1,039.88","TF75U3Q0TH         2025-06-07 05:06:40   Customer Payment to Small         Completed                                         -30.00            1,039.88",Uncategorized
2025-06-07,OUT,100,"Customer Transfer to -            Completed                                        -100.00            1,069.88","TF70U2SYA6         2025-06-07 03:49:53   Customer Transfer to -            Completed                                        -100.00            1,069.88",Personal Transfers
2025-06-07,OUT,13,"Customer Transfer of Funds        Completed                                         -13.00            1,169.88","TF77U2NQQ5         2025-06-07 03:38:14   Customer Transfer of Funds        Completed                                         -13.00            1,169.88",Uncategorized
2025-06-07,OUT,620,"Customer Payment to Small        Completed                                         -620.00            1,182.88","TF77U2NQQ5         2025-06-07 03:38:14   Customer Payment to Small        Completed                                         -620.00            1,182.88",Uncategorized
2025-06-07,OUT,1060,"Merchant Payment to 5042302 -     Completed                                      -1,060.00            1,802.88","TF74U0K7A2         2025-06-07 01:14:50   Merchant Payment to 5042302 -     Completed                                      -1,060.00            1,802.88",Other Merchant Payment
2025-06-07,IN,600,"Funds received from -             Completed                        600.00                             2,862.88","TF76U0JH78         2025-06-07 01:13:55   Funds received from -             Completed                        600.00                             2,862.88",Income (P2P)
2025-06-07,IN,400,"Funds received from -             Completed                        400.00                             2,262.88","TF78TZ55G8         2025-06-07 00:19:55   Funds received from -             Completed                        400.00                             2,262.88",Income (P2P)
2025-06-06,OUT,100,"Merchant Payment to 953831 -      Completed                                        -100.00            1,862.88","TF62TY8OQG         2025-06-06 23:56:51   Merchant Payment to 953831 -      Completed                                        -100.00            1,862.88",Other Merchant Payment
2025-06-06,OUT,100,"Customer Transfer to -            Completed                                        -100.00            1,962.88","TF67TFY671         2025-06-06 20:58:15   Customer Transfer to -            Completed                                        -100.00            1,962.88",Personal Transfers
2025-06-06,OUT,1200,"Merchant Payment to 6728184 -     Completed                                      -1,200.00            2,062.88","TF62T4TT6K         2025-06-06 20:04:12   Merchant Payment to 6728184 -     Completed                                      -1,200.00            2,062.88",Other Merchant Payment
2025-06-06,IN,337,"Funds received from -             Completed                        337.00                             3,262.88","TF69T4LCFN         2025-06-06 20:03:10   Funds received from -             Completed                        337.00                             3,262.88",Income (P2P)
2025-06-06,IN,800,"Funds received from -             Completed                        800.00                             2,925.88","TF66T4DYW4         2025-06-06 20:02:17   Funds received from -             Completed                        800.00                             2,925.88",Income (P2P)
2025-06-06,IN,400,"Funds received from -             Completed                        400.00                             2,125.88","TF61T4DYLP         2025-06-06 20:02:15   Funds received from -             Completed                        400.00                             2,125.88",Income (P2P)
2025-06-06,IN,337,"Funds received from -             Completed                        337.00                             1,725.88","TF67T4BUT9         2025-06-06 20:01:59   Funds received from -             Completed                        337.00                             1,725.88",Income (P2P)
2025-06-06,IN,400,"Funds received from -             Completed                        400.00                             1,388.88","TF68T47JSQ         2025-06-06 20:01:27   Funds received from -             Completed                        400.00                             1,388.88",Income (P2P)
2025-06-06,IN,400,Funds received from -             Completed                        400.00                               988.88,TF62T3ZWSK         2025-06-06 20:00:34   Funds received from -             Completed                        400.00                               988.88,Income (P2P)
2025-06-06,OUT,23,Customer Transfer of Funds        Completed                                         -23.00              588.88,TF66T04YGS         2025-06-06 19:44:21   Customer Transfer of Funds        Completed                                         -23.00              588.88,Uncategorized
2025-06-06,OUT,1500,"Customer Transfer to -            Completed                                      -1,500.00              611.88","TF66T04YGS         2025-06-06 19:44:21   Customer Transfer to -            Completed                                      -1,500.00              611.88",Personal Transfers
2025-06-06,OUT,120,"Merchant Payment to 6728184 -     Completed                                        -120.00            2,111.88","TF65SYP36T         2025-06-06 19:38:36   Merchant Payment to 6728184 -     Completed                                        -120.00            2,111.88",Other Merchant Payment
2025-06-06,OUT,100,"Customer Transfer to -            Completed                                        -100.00            2,231.88","TF67SLORDT         2025-06-06 18:49:26   Customer Transfer to -            Completed                                        -100.00            2,231.88",Personal Transfers
2025-06-06,OUT,15,"Customer Transfer to -            Completed                                         -15.00            2,331.88","TF61SHNJ8L         2025-06-06 18:33:13   Customer Transfer to -            Completed                                         -15.00            2,331.88",Personal Transfers
2025-06-06,OUT,50,"Customer Payment to Small         Completed                                         -50.00            2,346.88","TF67S949X9         2025-06-06 17:55:49   Customer Payment to Small         Completed                                         -50.00            2,346.88",Uncategorized
2025-06-06,IN,1800,"Business Payment from 329299 - Completed                      1,800.00                                2,396.88","TF67RZO8W1         2025-06-06 17:10:15   Business Payment from 329299 - Completed                      1,800.00                                2,396.88",Income (Business)
2025-06-06,OUT,70,Customer Payment to Small         Completed                                         -70.00              596.88,TF65RBF62J         2025-06-06 14:52:14   Customer Payment to Small         Completed                                         -70.00              596.88,Uncategorized
2025-06-06,OUT,80,Customer Payment to Small         Completed                                         -80.00              666.88,TF63R3CMY5         2025-06-06 14:04:31   Customer Payment to Small         Completed                                         -80.00              666.88,Uncategorized
2025-06-06,OUT,20,Recharge for Customer to           Completed                                          -20.00              746.88,TF60R17RQC         2025-06-06 13:51:51   Recharge for Customer to           Completed                                          -20.00              746.88,Uncategorized
2025-06-06,OUT,20,Pay Bill Online to 826915 -        Completed                                          -20.00              766.88,TF67QEPGFB         2025-06-06 11:34:49   Pay Bill Online to 826915 -        Completed                                          -20.00              766.88,Uncategorized
2025-06-06,OUT,115,Merchant Payment to 6863863 -      Completed                                         -115.00              786.88,TF67PZQ9PR         2025-06-06 10:02:16   Merchant Payment to 6863863 -      Completed                                         -115.00              786.88,Other Merchant Payment
2025-06-06,OUT,20,Airtime Purchase                   Completed                                          -20.00              901.88,TF65PS65R9         2025-06-06 09:14:15   Airtime Purchase                   Completed                                          -20.00              901.88,Airtime/Data
2025-06-05,OUT,7,Customer Transfer of Funds         Completed                                           -7.00              921.88,TF53OXNZK3         2025-06-05 22:43:49   Customer Transfer of Funds         Completed                                           -7.00              921.88,Uncategorized
2025-06-05,OUT,105,Customer Transfer to -             Completed                                         -105.00              928.88,TF53OXNZK3         2025-06-05 22:43:49   Customer Transfer to -             Completed                                         -105.00              928.88,Personal Transfers
2025-06-05,OUT,20,"Recharge for Customer to           Completed                                          -20.00            1,033.88","TF50ON1GBA         2025-06-05 21:23:12   Recharge for Customer to           Completed                                          -20.00            1,033.88",Uncategorized
2025-06-05,OUT,60,"Customer Payment to Small          Completed                                          -60.00            1,053.88","TF59OMSIYX         2025-06-05 21:21:44   Customer Payment to Small          Completed                                          -60.00            1,053.88",Uncategorized
2025-06-05,OUT,5,"Pay Bill Charge                    Completed                                           -5.00            1,113.88","TF55MQNUXV         2025-06-05 16:26:47   Pay Bill Charge                    Completed                                           -5.00            1,113.88",Uncategorized
2025-06-05,OUT,400,"Pay Bill to 522533 - Lipa na KCB   Completed                                         -400.00            1,118.88","TF55MQNUXV         2025-06-05 16:26:47   Pay Bill to 522533 - Lipa na KCB   Completed                                         -400.00            1,118.88",Uncategorized
2025-06-05,IN,1000,"Business Payment from 329299 - Completed                        1,000.00                                1,518.88","TF55MG0C73         2025-06-05 15:23:52   Business Payment from 329299 - Completed                        1,000.00                                1,518.88",Income (Business)
2025-06-05,OUT,70,Merchant Payment to 200576 -       Completed                                          -70.00              518.88,TF50LPIN5S         2025-06-05 12:41:57   Merchant Payment to 200576 -       Completed                                          -70.00              518.88,Other Merchant Payment
2025-06-05,OUT,20,Recharge for Customer to           Completed                                          -20.00              588.88,TF54L8B87E         2025-06-05 10:50:52   Recharge for Customer to           Completed                                          -20.00              588.88,Uncategorized
2025-06-05,OUT,50,Customer Payment to Small          Completed                                          -50.00              608.88,TF50KVDCUO         2025-06-05 09:25:49   Customer Payment to Small          Completed                                          -50.00              608.88,Uncategorized
2025-06-05,OUT,80,Customer Payment to Small          Completed                                          -80.00              658.88,TF58KLQEWA         2025-06-05 08:17:36   Customer Payment to Small          Completed                                          -80.00              658.88,Uncategorized
2025-06-04,OUT,90,Customer Transfer to -             Completed                                          -90.00              738.88,TF42JU4NB0         2025-06-04 21:54:44   Customer Transfer to -             Completed                                          -90.00              738.88,Personal Transfers
2025-06-04,OUT,60,Merchant Payment Online to         Completed                                          -60.00              828.88,TF45JLX6K1         2025-06-04 21:03:03   Merchant Payment Online to         Completed                                          -60.00              828.88,Other Merchant Payment
2025-06-04,OUT,20,Airtime Purchase                   Completed                                          -20.00              888.88,TF42JJWFMA         2025-06-04 20:52:27   Airtime Purchase                   Completed                                          -20.00              888.88,Airtime/Data
2025-06-04,OUT,20,Recharge for Customer to           Completed                                          -20.00              908.88,TF43GTO3VZ         2025-06-04 12:28:37   Recharge for Customer to           Completed                                          -20.00              908.88,Uncategorized
2025-06-04,OUT,27,Recharge for Customer to           Completed                                          -27.00              928.88,TF43GM006T         2025-06-04 11:37:31   Recharge for Customer to           Completed                                          -27.00              928.88,Uncategorized
2025-06-04,OUT,50,Customer Payment to Small          Completed                                          -50.00              955.88,TF45G5A18Z         2025-06-04 09:45:23   Customer Payment to Small          Completed                                          -50.00              955.88,Uncategorized
2025-06-04,OUT,90,"Customer Payment to Small          Completed                                          -90.00            1,005.88","TF45FXUUW5         2025-06-04 08:53:25   Customer Payment to Small          Completed                                          -90.00            1,005.88",Uncategorized
2025-06-03,OUT,20,"Recharge for Customer to           Completed                                          -20.00            1,095.88","TF34EWPVD4         2025-06-03 21:14:39   Recharge for Customer to           Completed                                          -20.00            1,095.88",Uncategorized
2025-06-03,OUT,70,"Customer Payment to Small          Completed                                          -70.00            1,115.88","TF32EVAL4W         2025-06-03 21:06:29   Customer Payment to Small          Completed                                          -70.00            1,115.88",Uncategorized
2025-06-03,OUT,33,"Customer Transfer of Funds         Completed                                          -33.00            1,185.88","TF34C6MSTW         2025-06-03 12:53:34   Customer Transfer of Funds         Completed                                          -33.00            1,185.88",Uncategorized
2025-06-03,OUT,2500,"Customer Transfer to -             Completed                                       -2,500.00            1,218.88","TF34C6MSTW         2025-06-03 12:53:34   Customer Transfer to -             Completed                                       -2,500.00            1,218.88",Personal Transfers
2025-06-03,OUT,50,"Customer Payment to Small          Completed                                          -50.00            3,718.88","TF31AZ9D5T         2025-06-03 07:56:14   Customer Payment to Small          Completed                                          -50.00            3,718.88",Uncategorized
2025-06-03,OUT,80,"Customer Transfer to -             Completed                                          -80.00            3,768.88","TF30ATYFFC         2025-06-03 07:08:14   Customer Transfer to -             Completed                                          -80.00            3,768.88",Personal Transfers
2025-06-03,OUT,20,"Recharge for Customer to           Completed                                          -20.00            3,848.88","TF39ATO16J         2025-06-03 07:05:09   Recharge for Customer to           Completed                                          -20.00            3,848.88",Uncategorized
2025-06-03,OUT,20,"Recharge for Customer to           Completed                                          -20.00            3,868.88","TF31ASAXR3         2025-06-03 06:49:25   Recharge for Customer to           Completed                                          -20.00            3,868.88",Uncategorized
2025-06-02,OUT,7,"Customer Transfer of Funds         Completed                                           -7.00            3,888.88","TF22997KRU         2025-06-02 18:53:42   Customer Transfer of Funds         Completed                                           -7.00            3,888.88",Uncategorized
2025-06-02,OUT,105,"Customer Transfer to -             Completed                                         -105.00            3,895.88","TF22997KRU         2025-06-02 18:53:42   Customer Transfer to -             Completed                                         -105.00            3,895.88",Personal Transfers
2025-06-02,OUT,1000,"Merchant Payment Online to         Completed                                       -1,000.00            4,000.88","TF28872IJE         2025-06-02 15:31:38   Merchant Payment Online to         Completed                                       -1,000.00            4,000.88",Other Merchant Payment
2025-06-02,IN,4000,"Business Payment from 329299 - Completed                        4,000.00                                5,000.88","TF2286VATS         2025-06-02 15:30:24   Business Payment from 329299 - Completed                        4,000.00                                5,000.88",Income (Business)
2025-06-02,OUT,60,"Merchant Payment to 6863863 -      Completed                                          -60.00            1,000.88","TF217TJD85         2025-06-02 14:05:40   Merchant Payment to 6863863 -      Completed                                          -60.00            1,000.88",Other Merchant Payment
2025-06-02,OUT,150,"Merchant Payment to 6497873 -      Completed                                         -150.00            1,060.88","TF207SVF22         2025-06-02 14:01:33   Merchant Payment to 6497873 -      Completed                                         -150.00            1,060.88",Other Merchant Payment
2025-06-02,OUT,1934,"Pay Bill Online to 150501 - Completed                                              -1,934.00            1,210.88","TF287380B4         2025-06-02 11:16:22   Pay Bill Online to 150501 - Completed                                              -1,934.00            1,210.88",Uncategorized
2025-06-02,IN,2500,"Business Payment from 329299 - Completed                        2,500.00                                3,144.88","TF2572UVEB         2025-06-02 11:13:57   Business Payment from 329299 - Completed                        2,500.00                                3,144.88",Income (Business)
2025-06-02,OUT,50,Customer Payment to Small          Completed                                          -50.00              644.88,TF2465EZOA         2025-06-02 06:46:01   Customer Payment to Small          Completed                                          -50.00              644.88,Uncategorized
2025-06-02,OUT,30,Pay Bill to 644700 - TAI SACCO     Completed                                          -30.00              694.88,TF266402FY         2025-06-02 06:12:04   Pay Bill to 644700 - TAI SACCO     Completed                                          -30.00              694.88,Peer Business
2025-06-02,OUT,20,Recharge for Customer to           Completed                                          -20.00              724.88,TF2463XDM2         2025-06-02 06:09:41   Recharge for Customer to           Completed                                          -20.00              724.88,Uncategorized
2025-06-01,OUT,70,Customer Transfer to -             Completed                                          -70.00              744.88,TF144T5FB0         2025-06-01 19:04:24   Customer Transfer to -             Completed                                          -70.00              744.88,Personal Transfers
2025-06-01,OUT,50,Customer Payment to Small          Completed                                          -50.00              814.88,TF134I06AP         2025-06-01 18:14:35   Customer Payment to Small          Completed                                          -50.00              814.88,Uncategorized
2025-06-01,OUT,20,Recharge for Customer to           Completed                                          -20.00              864.88,TF104EQA9W         2025-06-01 17:57:56   Recharge for Customer to           Completed                                          -20.00              864.88,Uncategorized
2025-06-01,IN,20100,"M-Shwari Deposit                   Completed                                      -20,100.00              884.88","TF10448MM0         2025-06-01 16:59:48   M-Shwari Deposit                   Completed                                      -20,100.00              884.88",Savings/Loans
2025-06-01,OUT,99,"Pay Bill Charge                    Completed                                          -99.00           20,984.88","TF15438SE3         2025-06-01 16:53:56   Pay Bill Charge                    Completed                                          -99.00           20,984.88",Uncategorized
2025-06-01,OUT,38000,"Pay Bill Online to 888111 -        Completed                                      -38,000.00           21,083.88","TF15438SE3         2025-06-01 16:53:56   Pay Bill Online to 888111 -        Completed                                      -38,000.00           21,083.88",Uncategorized
2025-06-01,IN,58000,"Business Payment from 329299 - Completed                       58,000.00                               59,083.88","TF1842UEGC         2025-06-01 16:51:37   Business Payment from 329299 - Completed                       58,000.00                               59,083.88",Income (Business)
2025-06-01,OUT,50,"Airtime Purchase                   Completed                                          -50.00            1,083.88","TF191JX99X         2025-06-01 00:44:02   Airtime Purchase                   Completed                                          -50.00            1,083.88",Airtime/Data
2025-06-01,OUT,34,"Pay Bill Charge                    Completed                                          -34.00            1,133.88","TF111JVUKZ         2025-06-01 00:43:06   Pay Bill Charge                    Completed                                          -34.00            1,133.88",Uncategorized
2025-06-01,OUT,3546,"Pay Bill to 722502 - CARREFOUR     Completed                                       -3,546.00            1,167.88","TF111JVUKZ         2025-06-01 00:43:06   Pay Bill to 722502 - CARREFOUR     Completed                                       -3,546.00            1,167.88",Uncategorized
2025-05-31,IN,4000,"Business Payment from 329299 - Completed                        4,000.00                                4,713.88","TEV4ZMNRIY         2025-05-31 20:09:58   Business Payment from 329299 - Completed                        4,000.00                                4,713.88",Income (Business)
2025-05-31,OUT,140,Merchant Payment to 6480227 -      Completed                                         -140.00              713.88,TEV1Z7I5MJ         2025-05-31 19:13:11   Merchant Payment to 6480227 -      Completed                                         -140.00              713.88,Other Merchant Payment
2025-05-31,OUT,13,Customer Transfer of Funds         Completed                                          -13.00              853.88,TEV6Z5EEC6         2025-05-31 19:05:41   Customer Transfer of Funds         Completed                                          -13.00              853.88,Uncategorized
2025-05-31,OUT,1000,"Customer Transfer to -             Completed                                       -1,000.00              866.88","TEV6Z5EEC6         2025-05-31 19:05:41   Customer Transfer to -             Completed                                       -1,000.00              866.88",Personal Transfers
2025-05-31,OUT,20,"Recharge for Customer to           Completed                                          -20.00            1,866.88","TEV4XTG1WS         2025-05-31 15:07:29   Recharge for Customer to           Completed                                          -20.00            1,866.88",Uncategorized
2025-05-31,OUT,62,"Recharge for Customer to           Completed                                          -62.00            1,886.88","TEV4XMCCC8         2025-05-31 14:24:48   Recharge for Customer to           Completed                                          -62.00            1,886.88",Uncategorized
